ligand_name,compound_group,experimental_pKD,experimental_delta_g_kcal_mol,smiles,xtal_nagl_raw_delta_g_kcal_mol,xtal_nagl_shifted_delta_g_kcal_mol,xtal_nagl_error_kcal_mol,xtal_nagl_abs_error_kcal_mol,xtal_nagl_reported_error_kcal_mol,docking_nagl_raw_delta_g_kcal_mol,docking_nagl_shifted_delta_g_kcal_mol,docking_nagl_error_kcal_mol,docking_nagl_abs_error_kcal_mol,docking_nagl_reported_error_kcal_mol,docking_am1bcc_raw_delta_g_kcal_mol,docking_am1bcc_shifted_delta_g_kcal_mol,docking_am1bcc_error_kcal_mol,docking_am1bcc_abs_error_kcal_mol,docking_am1bcc_reported_error_kcal_mol,docking_am1bcc_4ns_raw_delta_g_kcal_mol,docking_am1bcc_4ns_shifted_delta_g_kcal_mol,docking_am1bcc_4ns_error_kcal_mol,docking_am1bcc_4ns_abs_error_kcal_mol,docking_am1bcc_4ns_reported_error_kcal_mol,docking_am1bcc_350local_raw_delta_g_kcal_mol,docking_am1bcc_350local_shifted_delta_g_kcal_mol,docking_am1bcc_350local_error_kcal_mol,docking_am1bcc_350local_abs_error_kcal_mol,docking_am1bcc_350local_reported_error_kcal_mol,docking_am1bcc_0local_raw_delta_g_kcal_mol,docking_am1bcc_0local_shifted_delta_g_kcal_mol,docking_am1bcc_0local_error_kcal_mol,docking_am1bcc_0local_abs_error_kcal_mol,docking_am1bcc_0local_reported_error_kcal_mol
x7127a,x7127a,6.1893,-8.443734037772813,CSc1ncnc(N2CCC[C@@H]2Cn2cccn2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,2.914,-7.814688224843843,0.62904581292897,0.62904581292897,0.108,1.132,-7.932398751159632,0.511335286613182,0.511335286613182,0.084,3.03,-7.843543488001737,0.6001905497710762,0.6001905497710762,0.128,0.905,-7.793767172212262,0.6499668655605513,0.6499668655605513,0.057,2.258,-8.080504014317526,0.3632300234552872,0.3632300234552872,0.119,2.132,-8.164714540633316,0.2790194971394975,0.2790194971394975,0.116
x7132a,x7132a,7.3594,-10.040039467724176,CSc1ncnc(N2CCC[C@@H]2Cc2ccnn2C)c1CC(=O)N1CCC[C@H](C(N)=O)C1,3.612,-7.116688224843843,2.923351242880333,2.923351242880333,0.124,1.628,-7.436398751159631,2.603640716564545,2.603640716564545,0.083,3.452,-7.421543488001737,2.6184959797224394,2.6184959797224394,0.126,1.36,-7.338767172212262,2.701272295511914,2.701272295511914,0.056,2.487,-7.851504014317525,2.188535453406651,2.188535453406651,0.122,2.591,-7.705714540633315,2.3343249270908606,2.3343249270908606,0.125
x7135a,x7135a,7.7602,-10.586829670548298,CSc1ncnc(N2CCC[C@@H]2C(C)C)c1CC(=O)N1CCC[C@H](C(N)=O)C1,2.529,-8.199688224843843,2.3871414457044544,2.3871414457044544,0.115,1.092,-7.972398751159631,2.614430919388667,2.614430919388667,0.062,2.484,-8.389543488001737,2.197286182546561,2.197286182546561,0.138,0.481,-8.217767172212262,2.369062498336035,2.369062498336035,0.042,1.698,-8.640504014317525,1.9463256562307727,1.9463256562307727,0.134,1.339,-8.957714540633315,1.6291151299149824,1.6291151299149824,0.128
x7147a,x7147a,7.1999,-9.822442069145216,CSc1ncnc(N2CCC[C@@H]2CC(C)C)c1CC(=O)N1CCC[C@H](C(N)=O)C1,2.277,-8.451688224843842,1.3707538443013725,1.3707538443013725,0.118,0.648,-8.416398751159631,1.4060433179855831,1.4060433179855831,0.08,2.526,-8.347543488001737,1.4748985811434778,1.4748985811434778,0.134,0.11,-8.588767172212263,1.2336748969329516,1.2336748969329516,0.047,1.258,-9.080504014317526,0.7419380548276884,0.7419380548276884,0.124,1.027,-9.269714540633316,0.5527275285118982,0.5527275285118982,0.114
x7161a,x7161a,5.029,-6.860798228549186,COC[C@@H]1CCCN1c1ncnc(SC)c1CC(=O)N1CCC[C@H](C(N)=O)C1,1.451,-9.277688224843844,-2.416889996294657,2.416889996294657,0.145,0.811,-8.253398751159631,-1.3926005226104454,1.3926005226104454,0.12,2.083,-8.790543488001736,-1.9297452594525504,1.9297452594525504,0.102,-0.154,-8.852767172212262,-1.9919689436630763,1.9919689436630763,0.083,1.534,-8.804504014317525,-1.9437057857683389,1.9437057857683389,0.114,1.804,-8.492714540633315,-1.6319163120841296,1.6319163120841296,0.103
x7175a,x7175a,7.1973,-9.818895026911326,COC[C@H]1CCCN1c1ncnc(SC)c1CC(=O)N1CCC[C@H](C(N)=O)C1,2.862,-7.866688224843843,1.952206802067483,1.952206802067483,0.105,0.586,-8.47839875115963,1.3404962757516952,1.3404962757516952,0.067,2.384,-8.489543488001736,1.3293515389095898,1.3293515389095898,0.126,0.17,-8.528767172212262,1.2901278546990635,1.2901278546990635,0.042,1.532,-8.806504014317525,1.0123910125938007,1.0123910125938007,0.12,1.486,-8.810714540633315,1.008180486278011,1.008180486278011,0.108
x7190a,x7190a,6.0817,-8.296941059170328,CSc1ncnc(N2CC[C@H](C(=O)N3CCC(C)CC3)C2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,1.867,-8.861688224843842,-0.5647471656735146,0.5647471656735146,0.105,0.353,-8.711398751159631,-0.4144576919893037,0.4144576919893037,0.128,2.042,-8.831543488001737,-0.5346024288314091,0.5346024288314091,0.13,0.058,-8.640767172212263,-0.3438261130419349,0.3438261130419349,0.085,1.645,-8.693504014317526,-0.3965629551471981,0.3965629551471981,0.127,1.594,-8.702714540633316,-0.4057734814629885,0.4057734814629885,0.11
x7247a,x7247a,5.214,-7.11318392596052,CSc1ncnc(N2CCC[C@H]2Cc2ccnn2C)c1CC(=O)N1CCC[C@H](C(N)=O)C1,3.285,-7.443688224843843,-0.3305042988833229,0.3305042988833229,0.131,2.191,-6.873398751159631,0.2397851748008888,0.2397851748008888,0.133,2.893,-7.980543488001737,-0.8673595620412167,0.8673595620412167,0.109,0.498,-8.200767172212263,-1.087583246251743,1.087583246251743,0.08,2.532,-7.806504014317525,-0.6933200883570052,0.6933200883570052,0.124,3.308,-6.988714540633316,0.1244693853272043,0.1244693853272043,0.119
x7257a,x7257a,5.8238,-7.945101754508799,CSc1ncnc(N2CCC[C@H]2CC(C)C)c1CC(=O)N1CCC[C@H](C(N)=O)C1,2.428,-8.300688224843842,-0.3555864703350435,0.3555864703350435,0.128,1.498,-7.566398751159631,0.3787030033491678,0.3787030033491678,0.116,3.04,-7.833543488001736,0.1115582665070622,0.1115582665070622,0.119,0.654,-8.044767172212262,-0.0996654177034637,0.0996654177034637,0.088,2.373,-7.965504014317525,-0.0204022598087263,0.0204022598087263,0.101,2.498,-7.798714540633315,0.1463872138754833,0.1463872138754833,0.099
x7259a,x7259a,7.938,-10.829392789465786,CSc1ncnc(N2CCC[C@@H]2C2CC2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,3.088,-7.640688224843843,3.1887045646219425,3.1887045646219425,0.105,1.314,-7.750398751159631,3.0789940383061545,3.0789940383061545,0.065,2.974,-7.899543488001736,2.929849301464049,2.929849301464049,0.136,0.709,-7.989767172212263,2.839625617253523,2.839625617253523,0.047,2.12,-8.218504014317524,2.6108887751482612,2.6108887751482612,0.121,1.802,-8.494714540633316,2.3346782488324695,2.3346782488324695,0.11
x7309a,x7309a,6.6677,-9.096389808808391,CSc1ncnc(N2CCC[C@@H]2C(=O)N(C)C)c1CC(=O)N1CCC[C@H](C(N)=O)C1,2.308,-8.420688224843843,0.6757015839645497,0.6757015839645497,0.116,0.354,-8.710398751159632,0.385991057648761,0.385991057648761,0.057,2.622,-8.251543488001737,0.8448463208066563,0.8448463208066563,0.143,0.173,-8.525767172212262,0.5706226365961307,0.5706226365961307,0.039,1.615,-8.723504014317525,0.3728857944908679,0.3728857944908679,0.137,1.31,-8.986714540633315,0.1096752681750778,0.1096752681750778,0.13
x7316a,x7316a,7.1595,-9.76732648981863,CSc1ncnc(N2CC[C@H](OC3CC3)C2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,1.543,-9.185688224843844,0.5816382649747869,0.5816382649747869,0.113,0.165,-8.899398751159632,0.8679277386589987,0.8679277386589987,0.128,2.3,-8.573543488001736,1.193783001816895,1.193783001816895,0.118,-0.069,-8.767767172212263,0.9995593176063676,0.9995593176063676,0.079,2.109,-8.229504014317525,1.5378224755011054,1.5378224755011054,0.116,1.278,-9.018714540633315,0.7486119491853156,0.7486119491853156,0.119
x7317a,x7317a_x7317b_x7372a,6.5585,-8.947414034985055,CSc1ncnc(N2C[C@H]3C[C@H]3C2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,2.394,-8.334688224843843,0.6127258101412121,0.6127258101412121,0.096,0.269,-8.795398751159631,0.152015283825424,0.152015283825424,0.109,1.914,-8.959543488001737,-0.0121294530166817,0.0121294530166817,0.108,0.201,-8.497767172212262,0.4496468627727932,0.4496468627727932,0.08,1.843,-8.495504014317525,0.4519100206675297,0.4519100206675297,0.108,1.537,-8.759714540633315,0.1876994943517402,0.1876994943517402,0.103
x7427a,x7427a,5.9744,-8.150557354671754,CSc1ncnc(N2CC[C@H](C(=O)N(C)C)C2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,2.149,-8.579688224843842,-0.4291308701720879,0.4291308701720879,0.11,0.501,-8.563398751159632,-0.4128413964878774,0.4128413964878774,0.127,2.326,-8.547543488001736,-0.3969861333299818,0.3969861333299818,0.126,0.601,-8.097767172212261,0.0527901824594927,0.0527901824594927,0.091,2.251,-8.087504014317526,0.0630533403542283,0.0630533403542283,0.131,1.92,-8.376714540633316,-0.2261571859615614,0.2261571859615614,0.13
x7433a,x7433a,5.1382,-7.0097740023725255,CSc1ncnc(N2CCC[C@H]2Cc2ccccc2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,3.443,-7.2856882248438435,-0.275914222471318,0.275914222471318,0.111,2.477,-6.587398751159631,0.4223752512128946,0.4223752512128946,0.126,3.068,-7.805543488001737,-0.7957694856292115,0.7957694856292115,0.107,1.172,-7.526767172212263,-0.5169931698397372,0.5169931698397372,0.082,3.186,-7.152504014317525,-0.1427300119449999,0.1427300119449999,0.125,3.67,-6.626714540633316,0.3830594617392098,0.3830594617392098,0.107
x7475a,x7475a_x7475b,5.262,-7.178667782586163,CSc1ncnc(N2CCC[C@H]2C2CC2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,3.287,-7.441688224843843,-0.2630204422576803,0.2630204422576803,0.132,0.78,-8.284398751159632,-1.1057309685734689,1.1057309685734689,0.08,3.243,-7.630543488001736,-0.4518757054155733,0.4518757054155733,0.141,1.017,-7.681767172212263,-0.5030993896261,0.5030993896261,0.058,2.267,-8.071504014317526,-0.892836231731363,0.892836231731363,0.149,2.043,-8.253714540633315,-1.0750467580471517,1.0750467580471517,0.128
x7491a,x7491a_x7491b,5.3314,-7.27334652529074,CSc1ncnc(N2CCC[C@H]2C(C)C)c1CC(=O)N1CCC[C@H](C(N)=O)C1,3.518,-7.210688224843843,0.0626583004468965,0.0626583004468965,0.1,1.296,-7.768398751159631,-0.4950522258688909,0.4950522258688909,0.121,2.199,-8.674543488001737,-1.4011969627109968,1.4011969627109968,0.105,0.291,-8.407767172212262,-1.134420646921522,1.134420646921522,0.084,1.772,-8.566504014317525,-1.2931574890267852,1.2931574890267852,0.109,2.187,-8.109714540633316,-0.8363680153425763,0.8363680153425763,0.111
x7501a,x7501a_x7501b,5.2445,-7.154793459858064,CSc1ncnc(N2CCC[C@H]2C)c1CC(=O)N1CCC[C@H](C(N)=O)C1,2.609,-8.119688224843843,-0.9648947649857788,0.9648947649857788,0.095,1.06,-8.00439875115963,-0.8496052913015664,0.8496052913015664,0.116,2.097,-8.776543488001737,-1.6217500281436728,1.6217500281436728,0.1,0.281,-8.417767172212262,-1.2629737123541975,1.2629737123541975,0.081,1.733,-8.605504014317525,-1.4507105544594605,1.4507105544594605,0.107,2.194,-8.102714540633315,-0.9479210807752504,0.9479210807752504,0.096
x7510a,x7510a_x7510b,5.3595,-7.311681866357001,CC[C@@H]1CCCN1c1ncnc(SC)c1CC(=O)N1CCC[C@H](C(N)=O)C1,2.37,-8.358688224843842,-1.0470063584868408,1.0470063584868408,0.125,1.11,-7.954398751159631,-0.6427168848026295,0.6427168848026295,0.123,2.127,-8.746543488001738,-1.4348616216447363,1.4348616216447363,0.1,0.109,-8.589767172212262,-1.278085305855261,1.278085305855261,0.085,1.602,-8.736504014317525,-1.4248221479605236,1.4248221479605236,0.113,2.243,-8.053714540633315,-0.7420326742763139,0.7420326742763139,0.104
x7533a,x7533a_x7533b,6.6166,-9.026676786442344,CSc1ncnc(N2CCC[C@@H]2C)c1CC(=O)N1CCC[C@H](C(N)=O)C1,2.423,-8.305688224843843,0.7209885615984994,0.7209885615984994,0.096,0.639,-8.425398751159632,0.6012780352827107,0.6012780352827107,0.068,2.236,-8.637543488001736,0.3891332984406066,0.3891332984406066,0.114,0.2,-8.498767172212263,0.5279096142300794,0.5279096142300794,0.045,1.457,-8.881504014317525,0.1451727721248179,0.1451727721248179,0.103,1.461,-8.835714540633315,0.1909622458090272,0.1909622458090272,0.099
x7570a,x7570a,7.1317,-9.72940042285628,CSc1ncnc(N2CCC[C@@H]2c2ccccc2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,2.15,-8.578688224843843,1.150712198012437,1.150712198012437,0.117,0.143,-8.92139875115963,0.8080016716966494,0.8080016716966494,0.058,1.39,-9.483543488001736,0.2458569348545438,0.2458569348545438,0.138,-0.624,-9.322767172212265,0.4066332506440169,0.4066332506440169,0.041,0.514,-9.824504014317526,-0.0951035914612461,0.0951035914612461,0.141,0.464,-9.832714540633315,-0.1033141177770353,0.1033141177770353,0.131
x7589a,x7589a,7.2725,-9.9214864022915,COC(=O)N[C@H]1CCN(c2ncnc(SC)c2CC(=O)N2CCC[C@H](C(N)=O)C2)C1,1.271,-9.457688224843842,0.4637981774476571,0.4637981774476571,0.123,0.124,-8.94039875115963,0.9810876511318688,0.9810876511318688,0.12,1.993,-8.880543488001736,1.0409429142897633,1.0409429142897633,0.108,-0.394,-9.092767172212262,0.828719230079237,0.828719230079237,0.077,1.695,-8.643504014317525,1.2779823879739745,1.2779823879739745,0.106,0.968,-9.328714540633316,0.5927718616581839,0.5927718616581839,0.118
