engine;min_replicas;site;x;y;z;n_members;n_replicas;mean_occupancy;max_occupancy;spread_A;nearest_crystal_A
GRAND;12;CS020;22.217;22.749;11.429;13;12;0.1462;0.2200;0.926;2.673
GRAND;12;CS021;13.810;30.007;9.168;22;12;0.1386;0.1900;1.250;6.290
LOCH;2;CS001;22.761;22.184;7.518;6;4;0.5850;0.8600;0.967;1.077
LOCH;2;CS002;20.145;18.920;9.928;8;4;0.4750;0.8500;1.249;1.048
LOCH;2;CS003;15.934;24.107;10.959;7;4;0.3457;0.5500;0.914;0.896
LOCH;2;CS004;20.697;19.987;7.674;8;4;0.3175;0.6500;0.852;2.490
LOCH;2;CS005;18.807;20.575;8.297;6;4;0.2783;0.4700;1.146;2.149
LOCH;2;CS006;13.609;27.105;4.381;7;4;0.2657;0.5400;1.165;3.517
LOCH;2;CS007;22.218;24.996;7.781;6;4;0.2483;0.3400;0.958;2.147
LOCH;2;CS008;20.490;21.579;14.197;5;4;0.2380;0.3700;0.808;3.982
LOCH;2;CS009;19.434;21.035;11.491;8;4;0.2375;0.3700;0.801;1.856
LOCH;2;CS010;14.727;23.068;12.129;5;4;0.2100;0.3100;0.860;2.768
LOCH;2;CS011;21.675;20.947;11.458;4;4;0.2025;0.3300;0.523;1.720
LOCH;2;CS012;13.688;28.313;6.890;8;4;0.1988;0.2400;1.087;4.086
LOCH;2;CS013;14.916;27.052;7.498;5;4;0.1900;0.3000;0.930;2.726
LOCH;2;CS014;13.939;28.203;9.211;7;4;0.1886;0.2700;1.154;4.861
LOCH;2;CS015;15.221;26.895;8.903;5;4;0.1800;0.2400;0.752;3.398
LOCH;2;CS016;15.944;26.161;9.866;8;4;0.1775;0.2800;0.892;2.037
LOCH;2;CS017;12.203;27.102;1.898;6;4;0.1750;0.3000;1.072;5.914
LOCH;2;CS018;18.738;23.353;12.086;9;4;0.1733;0.2100;0.989;1.157
LOCH;2;CS019;18.791;23.593;14.716;9;4;0.1667;0.3100;1.129;3.453
LOCH;2;CS020;18.071;26.100;10.152;5;4;0.1660;0.1900;1.118;2.083
LOCH;2;CS021;20.880;26.628;6.051;6;4;0.1650;0.2100;0.941;3.522
LOCH;2;CS022;18.394;27.192;10.616;4;4;0.1625;0.1900;0.821;2.606
LOCH;2;CS023;20.283;24.950;12.929;6;4;0.1617;0.2200;0.954;3.494
LOCH;2;CS024;18.273;25.528;9.088;6;4;0.1600;0.2300;1.035;1.588
LOCH;2;CS025;15.596;28.271;3.437;8;4;0.1588;0.3500;0.981;4.231
LOCH;2;CS026;16.372;29.439;6.691;6;4;0.1583;0.2600;0.964;4.578
LOCH;2;CS027;17.334;27.746;7.016;5;4;0.1560;0.1900;0.892;3.329
LOCH;2;CS028;19.842;27.270;5.492;5;4;0.1560;0.2500;1.026;4.129
LOCH;2;CS029;22.112;21.396;10.109;4;4;0.1550;0.2100;0.762;0.830
LOCH;2;CS030;16.897;29.115;4.700;4;4;0.1550;0.2100;0.682;4.511
LOCH;2;CS031;22.545;22.631;10.017;5;4;0.1540;0.2000;0.928;2.079
LOCH;2;CS032;18.163;28.762;7.501;5;4;0.1500;0.1700;0.997;4.038
LOCH;2;CS033;18.482;26.955;8.149;7;4;0.1500;0.2100;1.084;2.256
LOCH;2;CS034;14.682;29.410;10.917;7;4;0.1486;0.2400;1.140;5.240
LOCH;2;CS035;13.192;29.087;5.067;8;4;0.1475;0.1800;0.941;5.011
LOCH;2;CS036;20.027;26.495;10.690;8;4;0.1425;0.2000;1.244;1.752
LOCH;2;CS037;21.062;24.971;11.483;6;4;0.1417;0.1900;0.869;2.611
LOCH;2;CS038;21.725;23.946;10.519;6;4;0.1417;0.1700;1.182;2.768
LOCH;2;CS039;14.757;28.058;2.042;6;4;0.1417;0.1900;1.157;5.180
